LAPORAN DATA DAN STATUS PROPERTI 2026,,,,,
None Baru,None Baru Baru Baru Baru Baru,None Baru Baru Baru Baru Baru,None Baru Baru Baru Baru Baru,None Baru Baru Baru Baru Baru,None Baru Baru Baru Baru Baru
ID_Produk Baru,Nama_Properti Baru Baru Baru Baru Baru,Kategori Baru Baru Baru Baru Baru,Kota Baru Baru Baru Baru Baru,Harga_Jual Baru Baru Baru Baru Baru,Status Baru Baru Baru Baru Baru
P001 Baru,Cluster Alamanda Baru Baru Baru Baru Baru,Rumah Baru Baru Baru Baru Baru,Jakarta Baru Baru Baru Baru Baru,1500000000 Baru Baru Baru Baru Baru,Terjual Baru Baru Baru Baru Baru
P002 Baru,Griya Asri H-12 Baru Baru Baru Baru Baru,Rumah Baru Baru Baru Baru Baru,Bandung Baru Baru Baru Baru Baru,750000000 Baru Baru Baru Baru Baru,Tersedia Baru Baru Baru Baru Baru
P003 Baru,Villa Senja A-5 Baru Baru Baru Baru Baru,Villa Baru Baru Baru Baru Baru,Bogor Baru Baru Baru Baru Baru,2100000000 Baru Baru Baru Baru Baru,Terjual Baru Baru Baru Baru Baru
P004 Baru,Apartemen Skyline B Baru Baru Baru Baru Baru,Apartemen Baru Baru Baru Baru Baru,Jakarta Baru Baru Baru Baru Baru,1250000000 Baru Baru Baru Baru Baru,Tersedia Baru Baru Baru Baru Baru
P005 Baru,Ruko Sentra Niaga Baru Baru Baru Baru Baru,Ruko Baru Baru Baru Baru Baru,Surabaya Baru Baru Baru Baru Baru,3200000000 Baru Baru Baru Baru Baru,Terjual Baru Baru Baru Baru Baru
P006 Baru,Cluster Alamanda 2 Baru Baru Baru Baru Baru,Rumah Baru Baru Baru Baru Baru,Jakarta Baru Baru Baru Baru Baru,1600000000 Baru Baru Baru Baru Baru,Tersedia Baru Baru Baru Baru Baru
P007 Baru,Griya Asri E-01 Baru Baru Baru Baru Baru,Rumah Baru Baru Baru Baru Baru,Bandung Baru Baru Baru Baru Baru,800000000 Baru Baru Baru Baru Baru,Terjual Baru Baru Baru Baru Baru
P008 Baru,Villa Senja B-2 Baru Baru Baru Baru Baru,Villa Baru Baru Baru Baru Baru,Bogor Baru Baru Baru Baru Baru,2250000000 Baru Baru Baru Baru Baru,Tersedia Baru Baru Baru Baru Baru
None Baru,None Baru Baru Baru Baru Baru,None Baru Baru Baru Baru Baru,Total Nilai Properti: Baru Baru Baru Baru Baru,=SUM(E4:E11) Baru Baru Baru Baru Baru,None Baru Baru Baru Baru Baru
